,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
320,222080,KR7222080004,씨아이에스,KOSDAQ,중견기업부,11130,3,0,0.0,11150,11180,10840,211392,2323524730,781967221560,70257612,KSQ
321,005250,KR7005250006,녹십자홀딩스,KOSPI,,16600,1,190,1.16,16410,16650,16280,36679,606323210,780668286000,47028210,STK
322,016380,KR7016380008,KG스틸,KOSPI,,7760,2,-100,-1.27,7860,7870,7750,115525,898740450,776069040720,100008897,STK
323,009450,KR7009450008,경동나비엔,KOSPI,,52800,1,1400,2.72,51600,53300,51500,54113,2854076600,769221657600,14568592,STK
324,330590,KR7330590001,롯데리츠,KOSPI,,3160,1,10,0.32,3145,3170,3145,44544,140725810,767781673440,242968884,STK
325,131970,KR7131970006,두산테스나,KOSDAQ,우량기업부,44500,2,-650,-1.44,45200,45200,44250,60683,2706908800,756792187000,17006566,KSQ
326,376300,KR7376300000,디어유,KOSDAQ,기술성장기업부,31850,2,-650,-2.0,32200,32200,31550,11570,367432150,756068231100,23738406,KSQ
327,089030,KR7089030001,테크윙,KOSDAQ,우량기업부,20200,2,-1350,-6.26,20750,21050,19910,1022568,20802605420,754543629000,37353645,KSQ
328,192650,KR7192650000,드림텍,KOSPI,,10960,2,-260,-2.32,11220,11300,10920,260890,2883963830,754028173360,68798191,STK
329,015750,KR7015750003,성우하이텍,KOSDAQ,우량기업부,9420,2,-150,-1.57,9550,9650,9350,553706,5262570690,753600000000,80000000,KSQ
330,005440,KR7005440003,현대지에프홀딩스,KOSPI,,4820,2,-85,-1.73,4875,4875,4810,218065,1053725720,751458730820,155904301,STK
331,950160,KR8840120008,코오롱티슈진,KOSDAQ,관리종목(소속부없음),10260,2,-30,-0.29,10240,10300,10090,18034,184293480,746934463800,72800630,KSQ
332,053800,KR7053800009,안랩,KOSDAQ,우량기업부,73900,2,-200,-0.27,74200,74400,73300,14255,1051930800,740023884500,10013855,KSQ
333,215200,KR7215200007,메가스터디교육,KOSDAQ GLOBAL,우량기업부,62900,2,-800,-1.26,64000,64000,62700,9533,602245100,735582414600,11694474,KSQ
334,418550,KR7418550000,제이오,KOSDAQ,기술성장기업부,23300,1,1200,5.43,22200,23500,22000,118087,2685122750,735482510900,31565773,KSQ
335,025320,KR7025320003,시노펙스,KOSDAQ,우량기업부,8770,1,560,6.82,8300,8930,8200,3770155,32801481250,735083298720,83817936,KSQ
336,031980,KR7031980006,피에스케이홀딩스,KOSDAQ,우량기업부,33800,1,1200,3.68,33150,34650,32900,264419,8943391550,728808951000,21562395,KSQ
337,000815,KR7000811000,삼성화재우,KOSPI,,226500,2,-5500,-2.37,232000,232000,225500,5798,1323338000,722988000000,3192000,STK
338,074600,KR7074600008,원익QnC,KOSDAQ GLOBAL,우량기업부,27300,2,-250,-0.91,27550,27600,27200,37198,1016893350,717662400000,26288000,KSQ
339,002240,KR7002240000,고려제강,KOSPI,,28700,2,-1800,-5.9,30250,31000,27950,370235,10903886550,717500000000,25000000,STK
340,348210,KR7348210006,넥스틴,KOSDAQ GLOBAL,우량기업부,69700,2,-900,-1.27,70700,70700,68900,33887,2365831900,716399740400,10278332,KSQ
341,204270,KR7204270003,제이앤티씨,KOSDAQ,중견기업부,12340,1,420,3.52,11920,12350,11810,77813,939576790,713850070440,57848466,KSQ
